Lead Number,Lead Origin,Lead Source,Notes,Lead Stage,Engagement Score,TotalVisits,Page Views Per Visit,Average Time Per Visit,Last Activity,Last Activity Date,Lead Conversion Date,Cityold,Specialization,Entrance Test,What is your current occupation
589061,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,3,Email Opened,29-07-2016 13:58,13-05-2016 14:43,Mumbai,E-COMMERCE,MAT,Unemployed
589049,Landing Page Submission,Organic Search,,Junk Lead,0,4,2,83,Email Bounced,22-05-2016 7:41,22-05-2016 7:40,Mumbai,Travel and Tourism,,
589048,Landing Page Submission,Organic Search,,Qualified,0,5,5,49,SMS Sent,17-07-2016 10:38,13-05-2016 14:22,Kolhapur,Rural and Agribusiness,MAT,Unemployed
589047,Landing Page Submission,Direct Traffic,,Not Interested,0,4,4,193.33,Email Opened,21-06-2016 18:08,13-05-2016 14:15,Noida,Supply Chain Management,,
589040,Landing Page Submission,Direct Traffic,,Junk Lead,0,3,3,16.5,Email Link Clicked,23-06-2016 15:21,13-05-2016 14:06,Mumbai,Human Resource Management,MAT,Unemployed
589038,API,Olark Chat,,Junk Lead,0,0,0,0,Email Bounced,21-06-2016 12:45,,,,,
589033,Landing Page Submission,Direct Traffic,,Not Interested,0,1,1,0,Converted to Lead,13-05-2016 13:55,13-05-2016 13:55,Guna,Marketing Management,MAT,Unemployed
589021,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,24-06-2016 5:49,,,,,
589010,Landing Page Submission,Organic Search,,Unreachable,0,7,7,73.67,SMS Sent,15-06-2016 8:46,13-05-2016 13:05,Mumbai,Business Administration,MAT,Unemployed
589007,API,Direct Traffic,,Junk Lead,0,4,1.33,1005,Olark Chat Conversation,18-07-2016 10:39,18-07-2016 10:36,Suri,,,
589006,Lead Add Form,Reference,,Closed,0,0,0,0,Email Opened,10/6/16 6:20,,,Human Resource Management,MAT,Working Professional
589001,Landing Page Submission,Google,,Unreachable,0,4,4,40.67,SMS Sent,29-06-2016 12:50,13-05-2016 12:54,Pune,IT Projects Management,MAT,Unemployed
588995,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,8,Email Opened,18-05-2016 12:56,13-05-2016 12:45,,Human Resource Management,MAT,Working Professional
588994,Landing Page Submission,Google,,Junk Lead,0,7,1.4,9.5,Email Opened,6/7/16 7:03,28-06-2016 12:47,,Supply Chain Management,MAT,Unemployed
588993,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,6,SMS Sent,2/7/16 7:06,13-05-2016 12:41,Mumbai,Finance Management,MAT,Unemployed
588992,API,Olark Chat,,Not Eligible,0,0,0,0,Olark Chat Conversation,13-05-2016 12:37,,,Select Specialization,MAT,Unemployed
588990,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,13-05-2016 12:39,,,,,
588963,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,75.67,SMS Sent,15-06-2016 8:46,13-05-2016 12:04,Mumbai,Marketing Management,MAT,Unemployed
588939,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,2,8,Email Bounced,17-05-2016 11:37,13-05-2016 11:37,Mumbai,Marketing Management,,
588935,API,Google,,Junk Lead,0,2,2,187,Email Opened,21-06-2016 14:26,13-05-2016 11:30,Mumbai,,,
588932,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,30-07-2016 14:45,,,Select Specialization,MAT,Unemployed
588921,API,Olark Chat,,Unreachable,0,0,0,0,SMS Sent,15-06-2016 8:46,,,Select Specialization,MAT,Unemployed
588912,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,1/6/16 10:38,,,,,
588908,Landing Page Submission,Direct Traffic,,Unreachable,0,7,7,45,Email Opened,28-06-2016 8:23,13-05-2016 10:55,Mumbai,International Business,MAT,Unemployed
588899,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,22,SMS Sent,17-07-2016 10:38,13-05-2016 10:43,Rajkot,Operations Management,MAT,Working Professional
588886,Landing Page Submission,Direct Traffic,,Not Eligible,0,1,1,0,Converted to Lead,13-05-2016 10:32,13-05-2016 10:32,Mumbai,Marketing Management,MAT,Unemployed
588884,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,13-05-2016 10:29,,,,,
588879,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,46,SMS Sent,29-06-2016 12:50,13-05-2016 10:23,Jalalpur,Marketing Management,MAT,Unemployed
588877,Landing Page Submission,Direct Traffic,Distance Learning Programme,Closed,0,2,2,26,Email Opened,25-06-2016 9:10,13-05-2016 10:18,Mumbai,Retail Management,MAT,Unemployed
588876,API,Google,,Not Interested,0,2,2,1066,Email Bounced,21-06-2016 12:40,13-05-2016 10:35,,Select Specialization,MAT,Unemployed
588873,Lead Add Form,Reference,,Qualified,0,0,0,0,Email Opened,29-06-2016 7:10,,,Finance Management,MAT,Working Professional
588870,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Email Bounced,21-05-2016 12:32,13-05-2016 10:05,Mumbai,Media and Advertising,MAT,Unemployed
588865,Landing Page Submission,Direct Traffic,,Qualified,0,3,3,43,SMS Sent,22-06-2016 7:49,13-05-2016 10:03,New Delhi,Marketing Management,,
588860,Landing Page Submission,Google,Need guidance for the online PG course,Not Eligible,0,4,4,133,Email Opened,17-06-2016 17:09,13-05-2016 9:56,Thane,Human Resource Management,MAT,Unemployed
588857,API,Google,,Not Eligible,0,2,2,138,Converted to Lead,13-05-2016 9:56,13-05-2016 9:56,Mumbai,Select Specialization,MAT,Unemployed
588850,Landing Page Submission,Google,Hi.pls email details.,Qualified,30,5,5,86.5,Email Opened,30-07-2016 3:02,13-05-2016 9:42,,Marketing Management,MAT,Unemployed
588844,Landing Page Submission,Direct Traffic,Every Info regarding the course,Qualified,0,4,4,81.67,SMS Sent,17-07-2016 10:38,13-05-2016 9:35,Mumbai,Business Administration,MAT,Unemployed
588843,API,Google,,Junk Lead,0,3,3,228.33,Email Bounced,21-06-2016 12:42,13-05-2016 9:38,Mumbai,,,
588838,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,13-05-2016 9:29,,,,,
588834,API,Olark Chat,,Junk Lead,0,0,0,0,Email Link Clicked,21-06-2016 12:43,,,,,
588832,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,13-05-2016 9:25,,,Select Specialization,MAT,Unemployed
588820,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,6/6/16 11:58,,,Select Specialization,MAT,Unemployed
588806,Landing Page Submission,Google,Please call me on 14th May. I am interested to join the course.,Qualified,0,6,3,45,Email Received,21-05-2016 7:43,13-05-2016 8:44,New Delhi,Human Resource Management,MAT,Working Professional
588802,Landing Page Submission,Direct Traffic,,Qualified,20,2,2,7,Email Opened,28-07-2016 14:02,13-05-2016 8:39,Mumbai,Operations Management,MAT,Unemployed
588797,Landing Page Submission,Direct Traffic,,Unreachable,0,5,2.5,150.5,Email Opened,28-07-2016 11:51,13-05-2016 8:43,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
588794,Landing Page Submission,Google,,Unreachable,0,3,1.5,4,SMS Sent,28-06-2016 10:41,13-05-2016 10:50,Mumbai,IT Projects Management,MAT,Unemployed
588783,Landing Page Submission,Direct Traffic,,Qualified,70,10,2.5,191.29,SMS Sent,17-07-2016 10:38,13-05-2016 8:19,Mumbai,Human Resource Management,MAT,Working Professional
588778,Landing Page Submission,Organic Search,,Not Interested,0,2,2,94,Converted to Lead,13-05-2016 8:15,13-05-2016 8:15,Mumbai,Finance Management,,
588779,Landing Page Submission,Direct Traffic,,Unreachable,0,8,2.67,59,SMS Sent,29-06-2016 12:47,13-05-2016 10:00,Mumbai,Services Excellence,MAT,Unemployed
588753,Lead Add Form,Reference,,Closed,0,0,0,0,Email Opened,13-05-2016 8:52,,,Select Specialization,MAT,Unemployed
588751,Landing Page Submission,Direct Traffic,,Qualified,10,3,3,582,Email Opened,31-07-2016 7:41,13-05-2016 7:30,Kharghar,Marketing Management,MAT,Unemployed
588746,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,13-05-2016 7:19,,,,,
588740,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,30-06-2016 7:46,,,,,
588721,Lead Add Form,Welingak Website,,Qualified,10,0,0,0,Email Opened,31-07-2016 12:32,,,Select Specialization,MAT,Unemployed
588718,Landing Page Submission,Google,Need information about the distance MBA from your institue,Unreachable,0,4,4,68.33,SMS Sent,15-06-2016 8:46,13-05-2016 7:00,Mumbai,Finance Management,MAT,Unemployed
588715,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Email Bounced,13-05-2016 7:00,13-05-2016 6:56,Mumbai,IT Projects Management,,
588711,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Converted to Lead,13-05-2016 6:54,13-05-2016 6:54,Mumbai,Human Resource Management,MAT,Unemployed
588705,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,14-06-2016 9:04,,,,,
588696,API,Google,,Not Interested,0,1,1,0,Converted to Lead,13-05-2016 6:48,13-05-2016 6:48,,Select Specialization,MAT,Unemployed
588691,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Email Bounced,17-05-2016 6:39,13-05-2016 6:38,,Marketing Management,MAT,Unemployed
588689,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Select Specialization,MAT,Unemployed
588682,API,Organic Search,,Qualified,0,7,1.17,267.5,SMS Sent,2/7/16 7:31,13-05-2016 10:35,Mumbai,IT Projects Management,MAT,Unemployed
588677,API,Organic Search,,Qualified,0,3,3,538,SMS Sent,21-07-2016 7:16,13-05-2016 6:39,Bangalore,Select Specialization,MAT,Unemployed
588664,Landing Page Submission,Google,HR AND ACCOUNTTINGincluding taxation knowledge,Unreachable,0,4,4,236.75,Email Opened,19-07-2016 2:50,13-05-2016 6:24,Thane,Human Resource Management,,
588662,Landing Page Submission,Google,Sir /madam want to pursue MBA through distance learning i reside at agra,Qualified,0,3,3,189,Had a Phone Conversation,20-05-2016 6:56,13-05-2016 6:18,Agra,Business Administration,MAT,Unemployed
588657,Landing Page Submission,Direct Traffic,,Closed,0,2,2,17,Form Submitted on Website,19-05-2016 4:52,13-05-2016 6:04,Mumbai,Media and Advertising,MAT,Unemployed
588646,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,28-07-2016 5:47,,,,,
588641,Landing Page Submission,Direct Traffic,,Closed,0,3,3,330.33,Email Link Clicked,7/6/16 5:51,13-05-2016 5:49,Bhopal,Marketing Management,MAT,Unemployed
588636,API,Google,,Junk Lead,0,2,2,540.5,Email Opened,16-05-2016 5:05,13-05-2016 5:57,Mumbai,,,
588631,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,13-05-2016 5:48,,,Select Specialization,MAT,Unemployed
588625,Landing Page Submission,Direct Traffic,"Hybrid Learning, its details, course offered, fee structured, and whether is it worth learning through online study or not?",Closed,0,5,2.5,102.67,SMS Sent,15-06-2016 9:14,13-05-2016 5:39,Nashik,Finance Management,MAT,Unemployed
588619,API,Google,,Junk Lead,0,2,2,809,Email Bounced,16-05-2016 8:10,13-05-2016 5:42,,,,
588618,Lead Add Form,Reference,,Qualified,20,0,0,0,Email Opened,8/8/16 8:47,,,Supply Chain Management,MAT,Unemployed
588606,API,Organic Search,,Junk Lead,0,5,2.5,124,Email Opened,22-06-2016 4:19,13-05-2016 5:49,Bangalore,,,
588605,Landing Page Submission,Google,"Human Resource course, class n fees",Unreachable,0,3,1.5,81,SMS Sent,29-06-2016 12:49,13-05-2016 5:16,Ahmedabad,Human Resource Management,MAT,Unemployed
588601,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,6,Email Opened,8/8/16 13:23,13-05-2016 5:13,,Marketing Management,MAT,Unemployed
588589,Landing Page Submission,Google,Would like to know more about the PGD courses offered by SomeSchool Education and would be happy to hear from one of your counselors.,Qualified,0,6,2,130,SMS Sent,2/7/16 7:28,13-05-2016 4:50,,Marketing Management,MAT,Unemployed
588573,Landing Page Submission,Google,Suggest me for a Good & interesting course,Qualified,0,2,2,6,SMS Sent,17-07-2016 10:38,13-05-2016 4:22,Mumbai,Human Resource Management,MAT,Unemployed
588569,API,Organic Search,,Unreachable,0,4,4,83.67,SMS Sent,22-06-2016 7:49,13-05-2016 4:20,,,,
588567,Landing Page Submission,Direct Traffic,,Qualified,0,5,5,37,SMS Sent,22-06-2016 7:49,13-05-2016 4:17,Ichalkaranji,Finance Management,,
588564,Landing Page Submission,Google,,Not Interested,0,4,4,190.33,Form Submitted on Website,13-05-2016 4:19,13-05-2016 4:11,Mumbai,Operations Management,MAT,Unemployed
588554,Landing Page Submission,Organic Search,,Not Eligible,0,4,4,558.67,Email Opened,13-07-2016 12:44,13-05-2016 4:14,Mumbai,IT Projects Management,MAT,Unemployed
588553,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Converted to Lead,13-05-2016 3:44,13-05-2016 3:44,Mumbai,Human Resource Management,MAT,Unemployed
588546,Landing Page Submission,Direct Traffic,,Not Eligible,0,4,2,36.5,Email Opened,21-06-2016 13:26,15-05-2016 16:32,Mumbai,Business Administration,MAT,Unemployed
588534,Landing Page Submission,Organic Search,,Unreachable,0,29,14.5,127.07,Email Opened,26-07-2016 12:16,13-05-2016 2:40,Mumbai,Marketing Management,MAT,Unemployed
588519,Landing Page Submission,Direct Traffic,Information about diploma in banking,Qualified,0,8,8,107.57,SMS Sent,6/7/16 12:13,13-05-2016 0:03,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
588514,Landing Page Submission,Direct Traffic,,Unreachable,0,4,2,65.5,SMS Sent,29-06-2016 12:48,12/5/16 22:43,,IT Projects Management,MAT,Unemployed
588500,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,2,3,Email Opened,14-05-2016 16:10,12/5/16 19:32,Bokadvira,IT Projects Management,MAT,Unemployed
588485,Landing Page Submission,Organic Search,,Junk Lead,0,6,2,36,Page Visited on Website,20-05-2016 17:40,12/5/16 18:35,,IT Projects Management,MAT,Unemployed
588479,Landing Page Submission,Social Media,,Not Interested,0,3,3,69.5,Page Visited on Website,12/5/16 18:00,12/5/16 17:57,Barddhaman,Travel and Tourism,MAT,Unemployed
588474,Landing Page Submission,Google,,Not Interested,0,3,3,56,Converted to Lead,12/5/16 17:49,12/5/16 17:49,Mumbai,Finance Management,,
588458,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,146,Converted to Lead,12/5/16 17:04,12/5/16 17:04,,Healthcare Management,MAT,Working Professional
588449,Landing Page Submission,Google,,Unreachable,0,4,4,194.67,Email Opened,23-05-2016 12:58,12/5/16 16:39,Mumbai,Operations Management,MAT,Unemployed
588437,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,2,2,Email Opened,23-05-2016 6:54,12/5/16 16:16,Mumbai,Media and Advertising,MAT,Unemployed
588435,API,Organic Search,,Junk Lead,0,2,2,33,Converted to Lead,12/5/16 16:06,12/5/16 16:06,,,,
588401,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Email Bounced,15-05-2016 17:04,12/5/16 15:00,Thane,Business Administration,MAT,Unemployed
588395,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,8,Email Opened,29-06-2016 12:56,12/5/16 14:52,Mumbai,Marketing Management,,
588391,Landing Page Submission,Direct Traffic,,Unreachable,0,7,7,105.67,SMS Sent,29-06-2016 12:51,12/5/16 14:50,Thane,IT Projects Management,MAT,Unemployed
588381,Landing Page Submission,Google,about. import&  export. study,Unreachable,0,2,2,3,Page Visited on Website,12/5/16 14:13,12/5/16 14:11,Pune,Select Specialization,MAT,Unemployed
588369,Landing Page Submission,Organic Search,,Unreachable,0,7,7,64.5,SMS Sent,28-06-2016 10:41,12/5/16 13:55,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
588327,Landing Page Submission,Direct Traffic,,Unreachable,0,4,1.33,103,Page Visited on Website,9/7/16 7:05,12/5/16 12:57,Bhatkal,Services Excellence,MAT,Unemployed
588319,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,16-05-2016 4:33,,,,,
588317,Landing Page Submission,Google,,Not Interested,0,1,1,0,Email Bounced,24-05-2016 13:26,12/5/16 12:41,Mumbai,Retail Management,MAT,Unemployed
588310,Landing Page Submission,Direct Traffic,,Not Eligible,0,2,2,20,Email Opened,15-06-2016 5:49,12/5/16 12:31,Thane,IT Projects Management,MAT,Unemployed
588291,Landing Page Submission,Google,,Closed,0,3,3,139,Olark Chat Conversation,12/5/16 12:16,12/5/16 12:10,,Supply Chain Management,MAT,Unemployed
588279,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,9,SMS Sent,28-06-2016 10:38,12/5/16 11:55,Thane,Marketing Management,MAT,Unemployed
588271,API,Google,,Qualified,0,2,2,434.5,SMS Sent,21-07-2016 7:16,12/5/16 11:56,Mumbai,Select Specialization,MAT,Unemployed
588264,API,Google,,Qualified,0,2,2,603,SMS Sent,21-07-2016 7:16,12/5/16 11:56,Mumbai,Select Specialization,MAT,Unemployed
588255,API,Direct Traffic,,Qualified,30,9,1.8,191.6,Email Opened,29-07-2016 13:39,28-05-2016 7:39,,Select Specialization,MAT,Unemployed
588240,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,12/5/16 11:15,,,,,
588238,API,Google,,Qualified,0,2,1,324,SMS Sent,21-07-2016 7:16,12/5/16 11:40,New Delhi,Human Resource Management,MAT,Unemployed
588222,Lead Add Form,Reference,,Interested,0,0,0,0,SMS Sent,22-06-2016 7:49,,,Select Specialization,MAT,Unemployed
588212,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,33,SMS Sent,6/7/16 12:13,12/5/16 10:48,Delhi,Finance Management,,
588209,Lead Add Form,Reference,,Qualified,30,0,0,0,Email Opened,27-07-2016 6:47,,,Human Resource Management,MAT,Unemployed
588203,Landing Page Submission,Direct Traffic,supply chain management,Not Interested,0,3,3,27,Email Opened,26-06-2016 13:40,12/5/16 10:43,Mumbai,Supply Chain Management,MAT,Unemployed
588197,API,Google,,Qualified,0,2,2,631,SMS Sent,21-07-2016 7:16,12/5/16 10:51,Mumbai,Select Specialization,MAT,Unemployed
588195,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,2,17,Email Opened,21-06-2016 15:44,12/5/16 10:35,Badlapur,Operations Management,MAT,Unemployed
588188,Landing Page Submission,Organic Search,,Qualified,10,13,4.33,27.6,Olark Chat Conversation,19-07-2016 4:34,17-05-2016 3:20,Mumbai,Media and Advertising,MAT,Unemployed
588185,API,Olark Chat,,Qualified,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
588182,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,12/5/16 10:19,,,,,
588179,Landing Page Submission,Direct Traffic,,Not Interested,0,3,3,136,Olark Chat Conversation,12/5/16 10:27,12/5/16 10:20,Delhi,Marketing Management,MAT,Unemployed
588170,Landing Page Submission,Direct Traffic,,Closed,0,6,1.5,384.33,Olark Chat Conversation,28-07-2016 12:00,12/5/16 10:05,,Supply Chain Management,MAT,Unemployed
588165,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,2/8/16 13:25,,,Select Specialization,MAT,Unemployed
588160,API,Direct Traffic,,Not Interested,0,7,1.75,373.2,Page Visited on Website,1/6/16 10:38,19-05-2016 9:32,,,,
588159,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,12/5/16 9:55,,,,,
588158,Lead Add Form,Reference,,Not Interested,0,,,,Had a Phone Conversation,12/5/16 9:59,,,Select Specialization,MAT,Unemployed
588144,API,Olark Chat,,Qualified,0,6,2,150.5,SMS Sent,21-07-2016 7:16,,,Operations Management,MAT,Unemployed
588143,Lead Add Form,Reference,,Qualified,0,1,1,0,SMS Sent,17-07-2016 10:38,,,Select Specialization,MAT,Unemployed
588140,Landing Page Submission,Direct Traffic,,Unreachable,0,6,6,142.4,SMS Sent,15-06-2016 8:46,12/5/16 9:42,Mumbai,Human Resource Management,MAT,Unemployed
588139,Landing Page Submission,Google,i want to know about export management course and fees.?,Not Eligible,0,4,4,175,Email Link Clicked,12/5/16 9:52,12/5/16 9:48,Mumbai,Operations Management,MAT,Unemployed
588132,Landing Page Submission,Google,I am seeking information for MBA in HR. If possible call me after 6 in the evening today.,Qualified,10,9,3,53,Form Submitted on Website,9/8/16 5:23,12/5/16 9:31,Thane,Human Resource Management,MAT,Working Professional
588131,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
588126,API,Organic Search,,Not Interested,0,7,3.5,104.17,Email Opened,21-06-2016 13:52,12/5/16 9:55,Mumbai,Select Specialization,MAT,Unemployed
588124,Landing Page Submission,Organic Search,,Qualified,0,9,9,76.13,SMS Sent,6/7/16 12:13,12/5/16 9:33,New Delhi,Media and Advertising,MAT,Unemployed
588115,API,Google,,Not Interested,0,3,3,109,Email Link Clicked,21-06-2016 13:04,12/5/16 9:20,Mumbai,Select Specialization,MAT,Unemployed
588111,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Human Resource Management,MAT,Working Professional
588107,Landing Page Submission,Google,i need urgent call back,Qualified,0,3,3,296.33,SMS Sent,17-07-2016 10:38,12/5/16 9:14,Mumbai,Operations Management,MAT,Unemployed
588106,Lead Add Form,Reference,,Not Interested,0,,,,Had a Phone Conversation,12/5/16 9:12,,,Human Resource Management,MAT,Working Professional
588104,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
588102,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Human Resource Management,MAT,Working Professional
588097,Lead Add Form,Reference,,Not Interested,0,,,,Had a Phone Conversation,16-05-2016 11:20,,,Marketing Management,MAT,Working Professional
588096,Landing Page Submission,Direct Traffic,If you need more traffic to your Distance Learning Online MBA and Part Time MBA Level Courses in India website you can try a keyword targeted traffic service free for 7 days here: http://nfc.lol/9h3i,Unreachable,0,2,2,13,SMS Sent,15-06-2016 8:46,12/5/16 9:03,Buffalo,Select Specialization,MAT,Unemployed
588094,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,"Banking, Investment And Insurance",MAT,Working Professional
588093,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Supply Chain Management,MAT,Working Professional
588088,Landing Page Submission,Google,,Qualified,0,3,3,82.5,Email Opened,28-06-2016 18:34,12/5/16 8:56,Ahmedabad,Business Administration,MAT,Unemployed
588076,Lead Add Form,Reference,,Not Interested,0,0,0,0,Email Opened,15-05-2016 17:08,,,Marketing Management,MAT,Working Professional
588075,Lead Add Form,Reference,,Closed,0,,,,Unreachable,21-05-2016 12:39,,,International Business,MAT,Working Professional
588073,API,Direct Traffic,,Unreachable,0,3,3,140,Email Link Clicked,12/5/16 9:09,12/5/16 8:47,Malda,Select Specialization,MAT,Unemployed
588070,Lead Add Form,Reference,,Closed,0,0,0,0,Email Link Clicked,17-05-2016 15:05,,,Finance Management,MAT,Working Professional
588069,Landing Page Submission,Direct Traffic,I am keen on knowing whether the institute offers MBA courses and if there is an entrance examination to enroll for the course,Unreachable,0,2,2,12,SMS Sent,29-06-2016 12:49,12/5/16 8:41,Newbury Park,Select Specialization,MAT,Unemployed
588065,API,Organic Search,,Qualified,0,2,1,0,SMS Sent,21-07-2016 7:16,12/5/16 9:09,Mumbai,Select Specialization,MAT,Unemployed
588064,Lead Add Form,Reference,,Qualified,40,0,0,0,Email Opened,19-07-2016 10:53,,,Marketing Management,MAT,Unemployed
588061,Lead Add Form,Reference,,Not Interested,0,,,,,,,,Human Resource Management,MAT,Working Professional
588058,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
588051,Lead Add Form,Reference,,Closed,0,,,,Had a Phone Conversation,12/5/16 8:29,,,Business Administration,MAT,Working Professional
588048,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Unemployed
588040,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
588037,Lead Add Form,Reference,,Closed,0,,,,Unreachable,14-05-2016 12:48,,,Business Administration,MAT,Working Professional
588035,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,22-06-2016 7:49,,,Healthcare Management,MAT,Working Professional
588029,Lead Add Form,Reference,,Not Interested,0,0,0,0,Page Visited on Website,17-07-2016 13:48,,,Human Resource Management,MAT,Unemployed
588025,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Finance Management,MAT,Working Professional
588024,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
588021,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Unemployed
588019,Lead Add Form,Reference,,Closed,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Finance Management,MAT,Working Professional
588013,Lead Add Form,Reference,,Qualified,0,,,,,,,,"Banking, Investment And Insurance",MAT,Working Professional
588011,Lead Add Form,Reference,,Qualified,10,0,0,0,Email Opened,29-07-2016 14:45,,,Business Administration,MAT,Working Professional
588009,Landing Page Submission,Direct Traffic,,Closed,0,1,1,0,Converted to Lead,12/5/16 7:57,12/5/16 7:57,Pune,Supply Chain Management,MAT,Unemployed
588008,Landing Page Submission,Organic Search,,Not Interested,0,7,7,50.17,Email Bounced,12/5/16 8:05,12/5/16 8:02,Pune,Finance Management,MAT,Unemployed
588007,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,22-06-2016 7:49,,,Operations Management,MAT,Unemployed
588006,Lead Add Form,Reference,,Qualified,0,1,1,0,Page Visited on Website,22-06-2016 6:52,,,Retail Management,MAT,Unemployed
588005,Lead Add Form,Reference,,Qualified,0,0,0,0,Email Opened,27-06-2016 12:53,,,Marketing Management,MAT,Working Professional
588003,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
588001,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
588000,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Finance Management,MAT,Working Professional
587996,Landing Page Submission,Organic Search,,Junk Lead,0,11,3.67,107,Page Visited on Website,26-07-2016 4:23,12/5/16 7:43,,E-Business,MAT,Unemployed
587995,Lead Add Form,,,Qualified,10,0,0,0,Email Opened,8/8/16 12:34,,,Marketing Management,MAT,Working Professional
587991,API,Organic Search,,Qualified,0,2,2,312,Email Opened,1/7/16 8:11,12/5/16 7:38,Delhi,,,
587986,API,Organic Search,,Qualified,0,2,2,382,SMS Sent,21-07-2016 7:16,12/5/16 7:38,Mumbai,Select Specialization,MAT,Unemployed
587985,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,193.67,Email Opened,27-07-2016 7:04,12/5/16 7:33,,Human Resource Management,MAT,Unemployed
587979,Landing Page Submission,Google,"Hii, i am working in comac india pvt ltd. as an executive operations i want know related diploma online courses to grow in my field or Hr diploma courses please suggest me",Qualified,0,4,4,172.67,SMS Sent,17-07-2016 10:38,12/5/16 7:33,Mumbai,Operations Management,MAT,Unemployed
